Timestamp,Hazard Type,Severity,Confidence,Latitude,Longitude
2026-09-05 22:45:00,Pothole,Critical,0.92,17.6868,83.2185
2026-09-05 22:46:12,Pothole,Moderate,0.85,17.6872,83.21912026-09-05 23:00:19,Pothole,MINOR,0.43,16.181803,81.130618
2026-09-05 23:00:23,Pothole,MINOR,0.45,16.180207,81.130998
2026-09-05 23:00:25,Pothole,CRITICAL,0.71,16.180389,81.130197
2026-09-05 23:00:26,Pothole,CRITICAL,0.79,16.181852,81.129452
2026-09-05 23:00:27,Pothole,MINOR,0.65,16.180904,81.130369
2026-09-05 23:00:28,Pothole,MINOR,0.51,16.181421,81.131289
2026-09-05 23:00:29,Pothole,CRITICAL,0.82,16.181584,81.129532
2026-09-05 23:00:30,Pothole,MINOR,0.38,16.180966,81.130263
2026-09-05 23:00:34,Pothole,MINOR,0.57,16.180362,81.130133
2026-09-05 23:00:35,Pothole,CRITICAL,0.77,16.181784,81.130966
2026-09-05 23:00:36,Pothole,MODERATE,0.47,16.180378,81.129454
2026-09-05 23:00:38,Pothole,MODERATE,0.43,16.181824,81.130453
2026-09-05 23:00:39,Pothole,CRITICAL,0.74,16.180368,81.13065
2026-09-05 23:09:50,Pothole,CRITICAL,0.93,16.180686,81.129642
2026-09-05 23:09:50,Pothole,CRITICAL,0.92,16.180152,81.130485
2026-09-05 23:09:51,Pothole,CRITICAL,0.92,16.18029,81.130398
2026-09-05 23:09:52,Pothole,CRITICAL,0.90,16.181803,81.129847
2026-09-05 23:09:53,Pothole,CRITICAL,0.90,16.179916,81.129334
2026-09-05 23:09:55,Pothole,CRITICAL,0.91,16.181403,81.130981
2026-09-05 23:09:56,Pothole,CRITICAL,0.91,16.180234,81.130667
2026-09-05 23:09:57,Pothole,CRITICAL,0.94,16.180462,81.130742
2026-09-05 23:09:58,Pothole,CRITICAL,0.93,16.181853,81.131145
2026-09-05 23:09:59,Pothole,CRITICAL,0.91,16.180868,81.12982
2026-09-05 23:10:00,Pothole,CRITICAL,0.88,16.181081,81.13095
2026-09-05 23:10:01,Pothole,CRITICAL,0.92,16.181315,81.131107
2026-09-05 23:10:02,Pothole,CRITICAL,0.91,16.180309,81.130831
2026-09-05 23:10:03,Pothole,CRITICAL,0.87,16.180237,81.129409
2026-09-05 23:10:04,Pothole,CRITICAL,0.91,16.180856,81.131161
2026-09-05 23:10:05,Pothole,CRITICAL,0.56,16.180966,81.129333
2026-09-05 23:10:06,Pothole,CRITICAL,0.91,16.18097,81.130145
2026-09-05 23:10:07,Pothole,CRITICAL,0.90,16.181368,81.130612
2026-09-05 23:10:08,Pothole,CRITICAL,0.90,16.181539,81.131049
2026-09-05 23:10:10,Pothole,CRITICAL,0.90,16.181326,81.130799
2026-09-05 23:10:11,Pothole,CRITICAL,0.90,16.181004,81.13112
2026-09-05 23:10:12,Pothole,CRITICAL,0.91,16.180031,81.129719
2026-09-05 23:10:13,Pothole,CRITICAL,0.91,16.181152,81.129361
2026-09-05 23:10:14,Pothole,CRITICAL,0.91,16.180154,81.129975
2026-09-05 23:10:15,Pothole,CRITICAL,0.90,16.180418,81.129529
2026-09-05 23:10:16,Pothole,CRITICAL,0.89,16.180033,81.129371
2026-09-05 23:10:17,Pothole,CRITICAL,0.89,16.180653,81.13062
2026-09-05 23:10:18,Pothole,CRITICAL,0.90,16.181625,81.129416
2026-09-05 23:10:19,Pothole,CRITICAL,0.90,16.181049,81.129339
2026-09-05 23:10:20,Pothole,CRITICAL,0.90,16.180158,81.130467
2026-09-05 23:10:21,Pothole,CRITICAL,0.90,16.180918,81.131217
2026-09-05 23:10:22,Pothole,CRITICAL,0.90,16.180868,81.129727
2026-09-05 23:10:23,Pothole,CRITICAL,0.91,16.180663,81.131013
2026-09-05 23:10:24,Pothole,CRITICAL,0.90,16.180967,81.129351
2026-09-05 23:10:25,Pothole,CRITICAL,0.90,16.1817,81.130315
2026-09-05 23:10:26,Pothole,CRITICAL,0.90,16.18032,81.130992
2026-09-05 23:10:27,Pothole,CRITICAL,0.82,16.181047,81.129566
2026-09-05 23:10:29,Pothole,CRITICAL,0.90,16.181214,81.131104
2026-09-05 23:10:30,Pothole,CRITICAL,0.90,16.181768,81.130364
2026-09-05 23:10:31,Pothole,CRITICAL,0.91,16.180825,81.129947
2026-09-05 23:10:32,Pothole,CRITICAL,0.91,16.181472,81.13055
2026-09-05 23:10:33,Pothole,CRITICAL,0.91,16.180115,81.130995
2026-09-05 23:10:34,Pothole,CRITICAL,0.91,16.181073,81.131036
2026-09-05 23:10:35,Pothole,CRITICAL,0.91,16.180344,81.13043
2026-09-05 23:10:36,Pothole,CRITICAL,0.90,16.180455,81.130759
2026-09-05 23:10:37,Pothole,CRITICAL,0.91,16.180467,81.130549
2026-09-05 23:10:38,Pothole,CRITICAL,0.91,16.18189,81.129607
2026-09-05 23:10:39,Pothole,CRITICAL,0.92,16.181206,81.130658
2026-09-05 23:10:41,Pothole,CRITICAL,0.90,16.180444,81.12999
2026-09-05 23:10:42,Pothole,CRITICAL,0.90,16.181234,81.129844
2026-09-05 23:10:43,Pothole,CRITICAL,0.90,16.180072,81.130383
2026-09-05 23:15:15,Pothole,MINOR,0.30,16.180337,81.130646
2026-09-05 23:15:27,Pothole,CRITICAL,0.68,16.18118,81.129897
2026-09-05 23:15:28,Pothole,CRITICAL,0.79,16.180117,81.129993
2026-09-05 23:15:29,Pothole,CRITICAL,0.82,16.180102,81.129844
2026-09-05 23:15:30,Pothole,CRITICAL,0.82,16.180585,81.130494
2026-09-05 23:15:31,Pothole,CRITICAL,0.87,16.180611,81.129942
2026-09-05 23:15:32,Pothole,MODERATE,0.47,16.180727,81.130551
2026-09-05 23:15:33,Pothole,CRITICAL,0.70,16.180566,81.129814
2026-09-05 23:15:35,Pothole,MINOR,0.30,16.181216,81.130786
2026-09-05 23:15:36,Pothole,MINOR,0.49,16.181017,81.129894
2026-09-05 23:15:37,Pothole,CRITICAL,0.85,16.181253,81.129747
2026-09-05 23:15:39,Pothole,CRITICAL,0.89,16.181526,81.1307
2026-09-05 23:15:40,Pothole,MODERATE,0.54,16.181526,81.130697
2026-09-05 23:15:54,Pothole,MINOR,0.41,16.18124,81.129876
