Timestamp,Hazard_Type,Severity,Confidence,Latitude,Longitude
2026-09-05 23:37:27,Pothole,CRITICAL,0.83,16.180373,81.129612
2026-09-05 23:37:28,Pothole,CRITICAL,0.82,16.180286,81.130043
2026-09-05 23:37:29,Pothole,CRITICAL,0.82,16.180711,81.129663
2026-09-05 23:37:30,Pothole,CRITICAL,0.63,16.180177,81.130759
2026-09-05 23:37:31,Pothole,CRITICAL,0.67,16.181272,81.130372
2026-09-05 23:37:32,Pothole,CRITICAL,0.84,16.181188,81.130817
2026-09-05 23:37:33,Pothole,CRITICAL,0.90,16.180644,81.13109
2026-09-05 23:37:34,Pothole,CRITICAL,0.86,16.180218,81.129585
2026-09-05 23:37:35,Pothole,CRITICAL,0.92,16.180192,81.130212
2026-09-05 23:37:36,Pothole,CRITICAL,0.36,16.181604,81.130386
2026-09-05 23:37:38,Pothole,CRITICAL,0.38,16.181502,81.129779
2026-09-05 23:37:46,Pothole,CRITICAL,0.42,16.18148,81.129714
2026-09-05 23:37:47,Pothole,CRITICAL,0.87,16.18059,81.131003
2026-09-05 23:37:48,Pothole,CRITICAL,0.93,16.180404,81.130823
2026-09-05 23:37:49,Pothole,CRITICAL,0.92,16.180273,81.130473
2026-09-05 23:37:50,Pothole,CRITICAL,0.92,16.180816,81.130022
2026-09-05 23:37:51,Pothole,CRITICAL,0.94,16.180352,81.12987
2026-09-05 23:37:52,Pothole,CRITICAL,0.93,16.180283,81.130702
2026-09-05 23:37:53,Pothole,CRITICAL,0.93,16.180987,81.129823
2026-09-05 23:37:54,Pothole,CRITICAL,0.93,16.181632,81.130961
2026-09-05 23:37:55,Pothole,CRITICAL,0.93,16.181357,81.130818
2026-09-05 23:37:56,Pothole,CRITICAL,0.93,16.180886,81.129532
2026-09-05 23:37:57,Pothole,CRITICAL,0.92,16.180726,81.131014
2026-09-05 23:37:59,Pothole,CRITICAL,0.93,16.180535,81.130402
2026-09-05 23:38:00,Pothole,CRITICAL,0.92,16.181632,81.130781
2026-09-05 23:38:01,Pothole,CRITICAL,0.92,16.18035,81.130308
2026-09-05 23:38:02,Pothole,CRITICAL,0.92,16.180858,81.131051
2026-09-05 23:38:03,Pothole,CRITICAL,0.91,16.180971,81.131001
2026-09-05 23:38:04,Pothole,CRITICAL,0.91,16.181681,81.130976
2026-09-05 23:38:05,Pothole,CRITICAL,0.77,16.181642,81.130954
2026-09-05 23:38:06,Pothole,CRITICAL,0.49,16.181239,81.130797
2026-09-05 23:38:07,Pothole,CRITICAL,0.69,16.180253,81.129766
2026-09-05 23:38:12,Pothole,CRITICAL,0.43,16.180395,81.130139
2026-09-05 23:38:13,Pothole,CRITICAL,0.43,16.181286,81.131033
2026-09-05 23:38:14,Pothole,CRITICAL,0.49,16.180397,81.13056
2026-09-05 23:38:15,Pothole,CRITICAL,0.45,16.181481,81.130632
2026-09-05 23:38:19,Pothole,CRITICAL,0.75,16.181204,81.13022
2026-09-05 23:38:20,Pothole,CRITICAL,0.67,16.180391,81.130372
